iter	Logloss
0	0.6901784699
1	0.6880896479
2	0.6868195092
3	0.6842160874
4	0.6815778967
5	0.6790103289
6	0.6771455889
7	0.6746761923
8	0.6722595621
9	0.6699243401
10	0.667729939
11	0.6663969839
12	0.6651914066
13	0.6635180529
14	0.6624185754
15	0.660818475
16	0.6591482792
17	0.656583433
18	0.6552440844
19	0.6530842331
20	0.6519275887
21	0.6499820998
22	0.6485602879
23	0.64715875
24	0.6456139102
25	0.6437281984
26	0.6418813986
27	0.6404029202
28	0.6383945358
29	0.6366364193
30	0.6357437792
31	0.6340364124
32	0.6332669185
33	0.6323134945
34	0.6314129552
35	0.6301589857
36	0.6292964527
37	0.6279969435
38	0.6269614348
39	0.6252115153
40	0.6242412496
41	0.6225926775
42	0.6212943376
43	0.6197068153
44	0.6190421926
45	0.6181502883
46	0.6174493428
47	0.6166950258
48	0.6159330484
49	0.6145160029
50	0.6136204268
51	0.6122272075
52	0.6114687795
53	0.6099473188
54	0.6085853341
55	0.6076647147
56	0.6068788488
57	0.6060020854
58	0.6045354799
59	0.6036536198
60	0.6028489003
61	0.6017231162
62	0.6005396326
63	0.5995004753
64	0.5986721512
65	0.5975174244
66	0.5962442751
67	0.5955699018
68	0.594205503
69	0.5934731785
70	0.5930345401
71	0.5924644772
72	0.5920285878
73	0.5909058995
74	0.5904836358
75	0.5898058753
76	0.5894468436
77	0.5889010331
78	0.5882921813
79	0.5877461443
80	0.5870933524
81	0.5861804097
82	0.585607929
83	0.5846578748
84	0.5841183906
85	0.5836567736
86	0.5825556629
87	0.5815763414
88	0.5804352795
89	0.5800551621
90	0.5790650001
91	0.5786485345
92	0.5780759365
93	0.5776504328
94	0.5765285036
95	0.5758502539
96	0.5753005435
97	0.5748452062
98	0.574255456
99	0.5738203883
100	0.5732106639
101	0.5729606078
102	0.5721235033
103	0.5718813591
104	0.571452081
105	0.5706666803
106	0.5700121959
107	0.5690579929
108	0.5688661736
109	0.5679261017
110	0.5676921057
111	0.567416679
112	0.566998905
113	0.5664066667
114	0.5656080021
115	0.5651642449
116	0.564822725
117	0.5645210878
118	0.5643556736
119	0.5637585831
120	0.563161345
121	0.5624761077
122	0.5617380916
123	0.5615784759
124	0.5609924791
125	0.5605555688
126	0.5604484103
127	0.5601579249
128	0.5599025307
129	0.5595921615
130	0.5593360636
131	0.5589274899
132	0.5585673149
133	0.5582124836
134	0.5577631502
135	0.5574852201
136	0.5572424294
137	0.5569648367
138	0.5564560817
139	0.5562310941
140	0.555743165
141	0.5553681754
142	0.5546839717
143	0.5541126225
144	0.5536988032
145	0.5532325872
146	0.5529446563
147	0.5525394681
148	0.5523062719
149	0.5521049913
150	0.5518936197
151	0.5515252946
152	0.5512630848
153	0.5509733284
154	0.550725668
155	0.5503640202
156	0.5502501688
157	0.5498712796
158	0.5492448339
159	0.5489067676
160	0.5484054563
161	0.5481619061
162	0.5478443977
163	0.5471952634
164	0.5470503957
165	0.5466916157
166	0.5465532988
167	0.5462795471
168	0.5459522207
169	0.545559989
170	0.5451070199
171	0.5449773288
172	0.5447847687
173	0.544659334
174	0.5442444407
175	0.5439382653
176	0.5433122924
177	0.5428585979
178	0.5426597757
179	0.5424157135
180	0.5422611894
181	0.5420008566
182	0.5415419218
183	0.541375554
184	0.5411983761
185	0.5410368398
186	0.5409511953
187	0.5405467069
188	0.5402957663
189	0.5399565442
190	0.5397946225
191	0.5393903203
192	0.5391802171
193	0.5390055026
194	0.5389406054
195	0.53880285
196	0.5386439533
197	0.5382650578
198	0.5379039404
199	0.5375574289
200	0.5373427884
201	0.5367680378
202	0.5367071198
203	0.5364186879
204	0.5360331192
205	0.5358612854
206	0.535624685
207	0.535212421
208	0.5348649291
209	0.5347526302
210	0.5346670177
211	0.5344781881
212	0.5343395957
213	0.5342172136
214	0.5338503852
215	0.5334827539
216	0.5333057198
217	0.5331778987
218	0.5331190328
219	0.5328311855
220	0.532552164
221	0.5322305522
222	0.5320993404
223	0.5318553088
224	0.531791057
225	0.5316100824
226	0.5312260488
227	0.5309943472
228	0.5306589335
229	0.5304819932
230	0.530329322
231	0.5299542514
232	0.5298426394
233	0.5296565406
234	0.5294641541
235	0.5293475047
236	0.529140888
237	0.5290836981
238	0.5289449455
239	0.5287344641
240	0.5286681658
241	0.528378544
242	0.5282206921
243	0.5280859225
244	0.527801876
245	0.5277395593
246	0.5274053452
247	0.527261312
248	0.5270084243
249	0.5268217532
250	0.5267216366
251	0.5265439496
252	0.5263514568
253	0.5262945667
254	0.5262054979
255	0.5261596188
256	0.5259705749
257	0.5257391885
258	0.5255141862
259	0.5254912697
260	0.5254527211
261	0.5251601794
262	0.5249172535
263	0.5247970224
264	0.5245020448
265	0.524228083
266	0.5240420486
267	0.5237518301
268	0.5236433131
269	0.5232617855
270	0.5232356131
271	0.5230284906
272	0.5228126622
273	0.5226303223
274	0.5225316007
275	0.522447884
276	0.5223144845
277	0.5220444579
278	0.522005756
279	0.521820058
280	0.5217239093
281	0.5216231257
282	0.5216012037
283	0.5215143787
284	0.5214588481
285	0.5212177141
286	0.5211556853
287	0.5211077453
288	0.5209599753
289	0.5208272803
290	0.5206551707
291	0.5204760803
292	0.5201268506
293	0.5198128375
294	0.5195331748
295	0.5191315624
296	0.5189829564
297	0.5186857061
298	0.5185020807
299	0.5183046308
300	0.5182586164
301	0.5181250621
302	0.5180453987
303	0.5179770471
304	0.5179678301
305	0.5178711841
306	0.5177416224
307	0.5176438693
308	0.5174234652
309	0.5173391021
310	0.5172655229
311	0.5171370764
312	0.516988862
313	0.5167931106
314	0.5166730605
315	0.5165371412
316	0.5163294218
317	0.5162366752
318	0.5161368006
319	0.5159020969
320	0.5157140255
321	0.5155681514
322	0.5153294039
323	0.5152212772
324	0.5151663406
325	0.5149958862
