iter	Passed	Remaining
0	21	21488
1	22	11296
2	52	17462
3	53	13368
4	68	13545
5	69	11487
6	83	11895
7	99	12371
8	131	14448
9	146	14483
10	177	15977
11	193	15903
12	209	15884
13	223	15766
14	238	15653
15	252	15552
16	268	15529
17	299	16345
18	300	15512
19	301	14752
20	301	14065
21	302	13441
22	302	12870
23	303	12347
24	304	11864
25	315	11805
26	330	11910
27	346	12012
28	362	12123
29	378	12223
30	393	12309
31	408	12365
32	424	12448
33	439	12493
34	455	12561
35	503	13492
36	517	13473
37	533	13498
38	549	13529
39	579	13918
40	596	13941
41	610	13935
42	626	13941
43	656	14268
44	687	14588
45	702	14567
46	717	14546
47	718	14244
48	732	14218
49	748	14221
50	762	14196
51	778	14189
52	793	14185
53	794	13922
54	795	13666
55	796	13420
56	796	13181
57	797	12951
58	798	12728
59	809	12676
60	825	12706
61	857	12970
62	858	12763
63	858	12562
64	859	12365
65	860	12173
66	860	11987
67	861	11807
68	862	11632
69	862	11462
70	863	11296
71	864	11136
72	864	10979
73	865	10827
74	865	10679
75	866	10535
76	867	10394
77	867	10256
78	868	10122
79	868	9992
80	869	9865
81	870	9741
82	870	9620
83	871	9501
84	871	9386
85	872	9273
86	873	9163
87	873	9055
88	874	8950
89	875	8847
90	875	8747
91	876	8649
92	876	8552
93	877	8458
94	878	8365
95	878	8275
96	879	8187
97	880	8100
98	880	8015
99	881	7931
100	881	7849
101	887	7815
102	888	7736
103	888	7658
104	889	7582
105	890	7507
106	890	7434
107	891	7361
108	902	7379
109	917	7426
110	933	7477
111	949	7529
112	964	7572
113	980	7620
114	981	7551
115	981	7483
116	982	7416
117	983	7350
118	984	7285
119	984	7221
120	985	7158
121	986	7096
122	986	7034
123	987	6974
124	987	6915
125	988	6856
126	989	6798
127	989	6742
128	990	6686
129	990	6631
130	991	6576
131	995	6549
132	996	6496
133	997	6445
134	997	6393
135	1011	6423
136	1011	6373
137	1012	6323
138	1013	6274
139	1013	6226
140	1014	6179
141	1014	6132
142	1015	6086
143	1016	6040
144	1016	5995
145	1017	5951
146	1018	5907
147	1018	5864
148	1019	5822
149	1020	5780
150	1026	5771
151	1027	5730
152	1027	5690
153	1028	5650
154	1029	5610
155	1029	5571
156	1030	5532
157	1031	5494
158	1031	5456
159	1032	5419
160	1032	5382
161	1033	5346
162	1034	5310
163	1034	5274
164	1035	5239
165	1036	5205
166	1041	5193
167	1041	5159
168	1042	5125
169	1056	5159
170	1057	5126
171	1058	5093
172	1058	5061
173	1059	5029
174	1072	5057
175	1073	5026
176	1074	4994
177	1075	4964
178	1088	4993
179	1089	4962
180	1090	4932
181	1090	4901
182	1091	4871
183	1091	4842
184	1092	4812
185	1093	4783
186	1093	4755
187	1103	4765
188	1134	4868
189	1150	4904
190	1151	4875
191	1151	4846
192	1166	4876
193	1181	4907
194	1181	4878
195	1182	4850
196	1183	4822
197	1183	4794
198	1184	4767
199	1184	4739
200	1185	4712
201	1186	4685
202	1186	4659
203	1187	4633
204	1187	4607
205	1188	4581
206	1196	4584
207	1197	4560
208	1198	4536
209	1199	4511
210	1199	4486
211	1200	4462
212	1201	4437
213	1201	4413
214	1202	4389
215	1202	4366
216	1203	4342
217	1204	4319
218	1204	4296
219	1205	4273
220	1206	4251
221	1206	4228
222	1207	4206
223	1207	4184
224	1208	4162
225	1209	4140
226	1209	4119
227	1210	4098
228	1211	4077
229	1211	4056
230	1212	4035
231	1212	4015
232	1213	3994
233	1214	3974
234	1214	3954
235	1215	3934
236	1216	3914
237	1216	3895
238	1217	3876
239	1217	3856
240	1218	3837
241	1219	3818
242	1219	3800
243	1220	3781
244	1221	3763
245	1221	3744
246	1222	3726
247	1226	3717
248	1226	3699
249	1227	3682
250	1228	3664
251	1228	3646
252	1229	3629
253	1229	3612
254	1230	3595
255	1231	3578
256	1231	3561
257	1232	3544
258	1233	3527
259	1233	3511
260	1234	3494
261	1234	3478
262	1235	3462
263	1236	3446
264	1236	3430
265	1237	3414
266	1237	3398
267	1238	3383
268	1239	3367
269	1239	3352
270	1240	3336
271	1241	3322
272	1242	3307
273	1242	3292
274	1243	3277
275	1243	3262
276	1244	3248
277	1245	3233
278	1245	3219
279	1246	3204
280	1246	3190
281	1247	3176
282	1248	3162
283	1256	3168
284	1257	3154
285	1258	3141
286	1258	3127
287	1259	3113
288	1260	3100
289	1260	3086
290	1261	3073
291	1262	3060
292	1262	3047
293	1263	3034
294	1264	3021
295	1264	3008
296	1265	2995
297	1265	2982
298	1266	2969
299	1267	2956
300	1267	2944
301	1268	2931
302	1269	2919
303	1269	2907
304	1270	2895
305	1285	2916
306	1300	2936
307	1316	2958
308	1332	2980
309	1348	3001
310	1364	3022
311	1380	3043
312	1381	3031
313	1381	3019
314	1382	3006
315	1383	2994
316	1383	2981
317	1384	2969
318	1385	2957
319	1385	2945
320	1386	2932
321	1387	2920
322	1387	2909
323	1388	2897
324	1389	2885
325	1390	2873
326	1390	2862
327	1391	2850
328	1391	2838
329	1392	2827
330	1393	2816
331	1410	2838
332	1426	2857
333	1427	2846
334	1428	2835
335	1428	2823
336	1429	2812
337	1430	2801
338	1441	2810
339	1457	2828
340	1457	2817
341	1472	2832
342	1488	2850
343	1489	2839
344	1504	2856
345	1519	2872
346	1534	2888
347	1549	2903
348	1565	2921
349	1566	2909
350	1567	2898
351	1568	2886
352	1568	2875
353	1569	2863
354	1569	2852
355	1580	2859
356	1596	2875
357	1612	2891
358	1613	2880
359	1613	2869
360	1614	2857
361	1615	2846
362	1615	2835
363	1616	2824
364	1617	2813
365	1617	2802
366	1618	2791
367	1619	2781
368	1620	2770
369	1620	2759
370	1621	2748
371	1627	2747
372	1628	2737
373	1628	2726
374	1629	2716
375	1630	2705
376	1630	2695
377	1631	2684
378	1632	2674
379	1632	2664
380	1633	2653
381	1634	2643
382	1634	2633
383	1635	2623
384	1635	2613
385	1636	2603
386	1637	2593
387	1637	2583
388	1638	2573
389	1639	2563
390	1639	2554
391	1640	2544
392	1641	2534
393	1641	2525
394	1642	2515
395	1643	2506
396	1643	2496
397	1644	2487
398	1645	2478
399	1645	2468
400	1646	2459
401	1647	2450
402	1647	2440
403	1648	2431
404	1649	2422
405	1649	2413
406	1650	2404
407	1651	2395
408	1651	2386
409	1652	2377
410	1653	2369
411	1653	2360
412	1654	2351
413	1655	2342
414	1655	2334
415	1656	2325
416	1657	2316
417	1657	2308
418	1658	2299
419	1659	2291
420	1660	2283
421	1660	2274
422	1661	2266
423	1662	2258
424	1662	2249
425	1663	2241
426	1664	2233
427	1664	2225
428	1665	2216
429	1666	2208
430	1667	2200
431	1667	2192
432	1668	2184
433	1669	2176
434	1669	2168
435	1670	2161
436	1672	2154
437	1672	2146
438	1673	2138
439	1674	2130
440	1675	2123
441	1675	2115
442	1676	2107
443	1677	2100
444	1677	2092
445	1678	2084
446	1679	2077
447	1680	2070
448	1680	2062
449	1681	2055
450	1682	2047
451	1682	2040
452	1683	2032
453	1684	2025
454	1684	2018
455	1685	2011
456	1686	2003
457	1687	1996
458	1687	1989
459	1688	1982
460	1689	1975
461	1690	1968
462	1690	1960
463	1691	1953
464	1692	1946
465	1692	1939
466	1693	1932
467	1694	1925
468	1694	1918
469	1700	1918
470	1701	1911
471	1702	1904
472	1702	1897
473	1703	1890
474	1704	1883
475	1705	1876
476	1705	1870
477	1706	1863
478	1707	1856
479	1707	1850
480	1708	1843
481	1709	1836
482	1709	1830
483	1710	1823
484	1711	1817
485	1712	1810
486	1713	1804
487	1713	1798
488	1714	1791
489	1715	1785
490	1715	1778
491	1716	1772
492	1717	1766
493	1718	1759
494	1718	1753
495	1719	1747
496	1720	1741
497	1720	1734
498	1721	1728
499	1722	1722
500	1723	1716
501	1723	1710
502	1724	1703
503	1725	1697
504	1725	1691
505	1726	1685
506	1727	1679
507	1727	1673
508	1728	1667
509	1729	1661
510	1730	1655
511	1731	1649
512	1731	1644
513	1732	1638
514	1733	1632
515	1733	1626
516	1734	1620
517	1735	1614
518	1736	1608
519	1736	1603
520	1737	1597
521	1738	1591
522	1739	1586
523	1739	1580
524	1740	1574
525	1741	1569
526	1742	1563
527	1742	1557
528	1743	1552
529	1744	1546
530	1745	1541
531	1746	1536
532	1746	1530
533	1747	1525
534	1748	1519
535	1749	1514
536	1749	1508
537	1750	1503
